independentRank,learningStage,userTier,masteryTarget,priorityScore,canonicalForm,displayForm,unitType,independentStudy,formOfCanonical,formRelationType,parentLexicalUnitId,sourceBookCount,sourceFamilyCount,qualityStatus,lexicalUnitId,prerequisiteLexicalUnitIds,formCandidates
17,S0_foundation_automatic,A1,active_automatic,682,insect,insect,lexeme_candidate,True,,,,49,24,conflicting_variants,lu:56a9fdf1464f9c462a,,[]
18,S0_foundation_automatic,A1,active_automatic,682,inside,inside,lexeme_candidate,True,,,,35,23,conflicting_variants,lu:a6a5b573b9bee15ee3,,[]
19,S0_foundation_automatic,A1,active_automatic,682,march,march,lexeme_candidate,True,,,,30,19,conflicting_variants,lu:1438ffcb7e691f73b6,,[]
20,S0_foundation_automatic,A1,active_automatic,682,matter,matter,lexeme_candidate,True,,,,47,27,conflicting_variants,lu:70d53e0c3b424c912a,,[]
21,S0_foundation_automatic,A1,active_automatic,682,mess,mess,lexeme_candidate,True,,,,41,23,conflicting_variants,lu:28cfe2d455750da659,,[]
22,S0_foundation_automatic,A1,active_automatic,682,mine,mine,lexeme_candidate,True,,,,40,23,unreviewed,lu:8ecce557834ff2d970,,[]
23,S0_foundation_automatic,A1,active_automatic,682,mud,mud,lexeme_candidate,True,,,,34,21,conflicting_variants,lu:931fabda1d306fb846,,[]
24,S0_foundation_automatic,A1,active_automatic,682,pack,pack,lexeme_candidate,True,,,,44,26,conflicting_variants,lu:a88026b0d070d65bc4,,[]
25,S0_foundation_automatic,A1,active_automatic,682,plate,plate,lexeme_candidate,True,,,,43,26,unreviewed,lu:123961bee35f404456,,[]
26,S0_foundation_automatic,A1,active_automatic,682,poet,poet,lexeme_candidate,True,,,,31,21,conflicting_variants,lu:df94564ee03c0425fa,,[]
27,S0_foundation_automatic,A1,active_automatic,682,present,present,lexeme_candidate,True,,,,57,27,conflicting_variants,lu:69a6453735ae3fb557,,[]
28,S0_foundation_automatic,A1,active_automatic,682,president,president,lexeme_candidate,True,,,,43,24,unreviewed,lu:fea3963372c8a65edc,,[]
29,S0_foundation_automatic,A1,active_automatic,682,project,project,lexeme_candidate,True,,,,67,30,conflicting_variants,lu:283c941048c0c385a6,,[]
30,S0_foundation_automatic,A1,active_automatic,682,pull,pull,lexeme_candidate,True,,,,35,24,unreviewed,lu:2f08f4d72399858e63,,[]
31,S0_foundation_automatic,A1,active_automatic,682,race,race,lexeme_candidate,True,,,,46,24,unreviewed,lu:38034741af521ec213,,[]
32,S0_foundation_automatic,A1,active_automatic,682,roll,roll,lexeme_candidate,True,,,,42,29,conflicting_variants,lu:974baa2690dc305c15,,[]
33,S0_foundation_automatic,A1,active_automatic,682,row,row,lexeme_candidate,True,,,,44,23,conflicting_variants,lu:9fe371f0d092ed2282,,[]
34,S0_foundation_automatic,A1,active_automatic,682,stand,stand,lexeme_candidate,True,,,,49,30,conflicting_variants,lu:37e5617e182d923c66,,[]
35,S0_foundation_automatic,A1,active_automatic,682,straight,straight,lexeme_candidate,True,,,,46,24,conflicting_variants,lu:d841b0366928fdb4ff,,[]
36,S0_foundation_automatic,A1,active_automatic,682,string,string,lexeme_candidate,True,,,,48,25,conflicting_variants,lu:4a6258e03d75af77fe,,[]
37,S0_foundation_automatic,A1,active_automatic,682,subject,subject,lexeme_candidate,True,,,,73,32,conflicting_variants,lu:f05001ef1a0f1e7554,,[]
38,S0_foundation_automatic,A1,active_automatic,682,take,take,lexeme_candidate,True,,,,44,24,conflicting_variants,lu:faca07b5b66d8d5a5b,,[]
39,S0_foundation_automatic,A1,active_automatic,682,topic,topic,lexeme_candidate,True,,,,41,23,conflicting_variants,lu:7ed1caaa399b62897f,,[]
40,S0_foundation_automatic,A1,active_automatic,682,traditional,traditional,lexeme_candidate,True,,,,40,21,conflicting_variants,lu:8db017c480931f28cc,,[]
41,S0_foundation_automatic,A1,active_automatic,682,type,type,lexeme_candidate,True,,,,48,26,conflicting_variants,lu:f328cf8a8c096a65f3,,[]
42,S0_foundation_automatic,A1,active_automatic,682,wear,wear,lexeme_candidate,True,,,,46,25,unreviewed,lu:554ba021f1b8198a3b,,[]
43,S0_foundation_automatic,A1,active_automatic,682,well,well,lexeme_candidate,True,,,,46,25,conflicting_variants,lu:b61fa1bab27e818ac5,,[]
44,S0_foundation_automatic,A1,active_automatic,680,about,about,lexeme_candidate,True,,,,34,22,conflicting_variants,lu:29b04f8a915a1bfda6,,[]
45,S0_foundation_automatic,A1,active_automatic,680,accurate,accurate,lexeme_candidate,True,,,,56,29,conflicting_variants,lu:5a416551a896d40b63,,[]
46,S0_foundation_automatic,A1,active_automatic,680,actual,actual,lexeme_candidate,True,,,,34,24,conflicting_variants,lu:4f1ec7a2d77e8e8343,,[]
47,S0_foundation_automatic,A1,active_automatic,680,actually,actually,lexeme_candidate,True,,,,30,21,unreviewed,lu:661d07d9f049e665d8,,[]
48,S0_foundation_automatic,A1,active_automatic,680,adapt,adapt,lexeme_candidate,True,,,,60,28,conflicting_variants,lu:fc15bca676d72e0fef,,[]
49,S0_foundation_automatic,A1,active_automatic,680,address,address,lexeme_candidate,True,,,,53,27,conflicting_variants,lu:0cbd72f73244fda65b,,[]
50,S0_foundation_automatic,A1,active_automatic,680,admire,admire,lexeme_candidate,True,,,,48,27,conflicting_variants,lu:959d19dae3659ab96e,,[]
51,S0_foundation_automatic,A1,active_automatic,680,admit,admit,lexeme_candidate,True,,,,53,29,conflicting_variants,lu:3fb043c717c85260e8,,[]
52,S0_foundation_automatic,A1,active_automatic,680,adult,adult,lexeme_candidate,True,,,,49,27,conflicting_variants,lu:e7383e32e97fc4e39b,,[]
53,S0_foundation_automatic,A1,active_automatic,680,affect,affect,lexeme_candidate,True,,,,57,27,conflicting_variants,lu:a601504d0500b1f8f9,,[]
54,S0_foundation_automatic,A1,active_automatic,680,afraid,afraid,lexeme_candidate,True,,,,36,21,unreviewed,lu:aab1e6ab3fc5b39b7d,,[]
55,S0_foundation_automatic,A1,active_automatic,680,after,after,lexeme_candidate,True,,,,36,24,conflicting_variants,lu:616d5bc63e5d91d7fe,,[]
56,S0_foundation_automatic,A1,active_automatic,680,afternoon,afternoon,lexeme_candidate,True,,,,34,21,unreviewed,lu:5e4719498479b101a1,,[]
57,S0_foundation_automatic,A1,active_automatic,680,age,age,lexeme_candidate,True,,,,38,24,unreviewed,lu:d1a20a30711dc17839,,[]
58,S0_foundation_automatic,A1,active_automatic,680,agency,agency,lexeme_candidate,True,,,,43,24,conflicting_variants,lu:014ad46fb63e087898,,[]
59,S0_foundation_automatic,A1,active_automatic,680,agent,agent,lexeme_candidate,True,,,,48,25,conflicting_variants,lu:958525d4d21443305d,,[]
60,S0_foundation_automatic,A1,active_automatic,680,ahead,ahead,lexeme_candidate,True,,,,38,27,unreviewed,lu:8b89ff247431d0f2b3,,[]
61,S0_foundation_automatic,A1,active_automatic,680,airport,airport,lexeme_candidate,True,,,,41,24,conflicting_variants,lu:ae082813d2fc442645,,[]
62,S0_foundation_automatic,A1,active_automatic,680,alarm,alarm,lexeme_candidate,True,,,,54,27,conflicting_variants,lu:3d7642ab3c81a619c8,,[]
63,S0_foundation_automatic,A1,active_automatic,680,all,all,lexeme_candidate,True,,,,37,22,conflicting_variants,lu:41e9340cd3914ee9a1,,[]
64,S0_foundation_automatic,A1,active_automatic,680,also,also,lexeme_candidate,True,,,,34,23,conflicting_variants,lu:36f92e53f2e2f1a9b6,,[]
65,S0_foundation_automatic,A1,active_automatic,680,always,always,lexeme_candidate,True,,,,38,25,conflicting_variants,lu:2ca1da51babdfbb666,,[]
66,S0_foundation_automatic,A1,active_automatic,680,ambition,ambition,lexeme_candidate,True,,,,48,24,conflicting_variants,lu:2e28188a1dfccf10fc,,[]
67,S0_foundation_automatic,A1,active_automatic,680,anger,anger,lexeme_candidate,True,,,,32,19,unreviewed,lu:40e2bb7eb911bec37c,,[]
68,S0_foundation_automatic,A1,active_automatic,680,angry,angry,lexeme_candidate,True,,,,37,21,unreviewed,lu:c71cd25688fbac2896,,[]
69,S0_foundation_automatic,A1,active_automatic,680,animal,animal,lexeme_candidate,True,,,,38,22,unreviewed,lu:6a9eacb1bdde21d948,,[]
70,S0_foundation_automatic,A1,active_automatic,680,announce,announce,lexeme_candidate,True,,,,51,31,conflicting_variants,lu:b3b96e1ecedc329d0e,,[]
71,S0_foundation_automatic,A1,active_automatic,680,another,another,lexeme_candidate,True,,,,36,23,conflicting_variants,lu:a061cc2acf2d9d5408,,[]
72,S0_foundation_automatic,A1,active_automatic,680,answer,answer,lexeme_candidate,True,,,,41,23,conflicting_variants,lu:6b7f4dfb6746567c85,,[]
73,S0_foundation_automatic,A1,active_automatic,680,any,any,lexeme_candidate,True,,,,33,22,unreviewed,lu:1b620f0a374bdb6e13,,[]
74,S0_foundation_automatic,A1,active_automatic,680,apart,apart,lexeme_candidate,True,,,,37,24,conflicting_variants,lu:474ca424e808a79a37,,[]
75,S0_foundation_automatic,A1,active_automatic,680,apartment,apartment,lexeme_candidate,True,,,,49,23,conflicting_variants,lu:abf0ff56e6561f943d,,[]
76,S0_foundation_automatic,A1,active_automatic,680,apple,apple,lexeme_candidate,True,,,,34,21,conflicting_variants,lu:4ab7de45883f57385f,,[]
77,S0_foundation_automatic,A1,active_automatic,680,appreciate,appreciate,lexeme_candidate,True,,,,65,30,conflicting_variants,lu:60f99df2102767ee0b,,[]
78,S0_foundation_automatic,A1,active_automatic,680,approach,approach,lexeme_candidate,True,,,,62,30,conflicting_variants,lu:204117427d6c31d17a,,[]
79,S0_foundation_automatic,A1,active_automatic,680,argument,argument,lexeme_candidate,True,,,,46,22,conflicting_variants,lu:05917849f78a47ae58,,[]
80,S0_foundation_automatic,A1,active_automatic,680,around,around,lexeme_candidate,True,,,,38,22,conflicting_variants,lu:cc2ce9e68941688737,,[]
81,S0_foundation_automatic,A1,active_automatic,680,arrive,arrive,lexeme_candidate,True,,,,38,24,unreviewed,lu:5d84828b7cd10d0326,,[]
82,S0_foundation_automatic,A1,active_automatic,680,art,art,lexeme_candidate,True,,,,40,24,unreviewed,lu:b3e15b21bf48cdf7a5,,[]
83,S0_foundation_automatic,A1,active_automatic,680,as,as,lexeme_candidate,True,,,,34,22,unreviewed,lu:65cceef0f97c3a6c18,,[]
84,S0_foundation_automatic,A1,active_automatic,680,aside,aside,lexeme_candidate,True,,,,36,21,conflicting_variants,lu:54d52f6a4c57e3940c,,[]
85,S0_foundation_automatic,A1,active_automatic,680,ask,ask,lexeme_candidate,True,,,,39,25,conflicting_variants,lu:435a59b316b36ee4e6,,[]
86,S0_foundation_automatic,A1,active_automatic,680,atmosphere,atmosphere,lexeme_candidate,True,,,,55,26,conflicting_variants,lu:98aa5996425d3741cd,,[]
87,S0_foundation_automatic,A1,active_automatic,680,attack,attack,lexeme_candidate,True,,,,50,24,conflicting_variants,lu:fbd660e4fe25ed9051,,[]
88,S0_foundation_automatic,A1,active_automatic,680,attend,attend,lexeme_candidate,True,,,,48,26,unreviewed,lu:0320f2f67d0dc9b151,,[]
89,S0_foundation_automatic,A1,active_automatic,680,attitude,attitude,lexeme_candidate,True,,,,55,26,conflicting_variants,lu:05b2ccfe8c9c1c5329,,[]
90,S0_foundation_automatic,A1,active_automatic,680,attract,attract,lexeme_candidate,True,,,,52,27,conflicting_variants,lu:0dff79ead438eedf41,,[]
91,S0_foundation_automatic,A1,active_automatic,680,author,author,lexeme_candidate,True,,,,52,24,conflicting_variants,lu:b9f3f1b969c483a872,,[]
92,S0_foundation_automatic,A1,active_automatic,680,available,available,lexeme_candidate,True,,,,62,29,conflicting_variants,lu:3e2920ea8f3439ebd3,,[]
93,S0_foundation_automatic,A1,active_automatic,680,average,average,lexeme_candidate,True,,,,61,30,conflicting_variants,lu:e67c7c6f5831d94676,,[]
94,S0_foundation_automatic,A1,active_automatic,680,aware,aware,lexeme_candidate,True,,,,59,27,conflicting_variants,lu:3fe3fd5e27085edd1c,,[]
95,S0_foundation_automatic,A1,active_automatic,680,baby,baby,lexeme_candidate,True,,,,33,21,unreviewed,lu:470a893d42a501ed18,,[]
96,S0_foundation_automatic,A1,active_automatic,680,back,back,lexeme_candidate,True,,,,47,26,conflicting_variants,lu:319c6b2f222bed84eb,,[]
97,S0_foundation_automatic,A1,active_automatic,680,background,background,lexeme_candidate,True,,,,51,24,conflicting_variants,lu:b322869a3cad135d64,,[]
98,S0_foundation_automatic,A1,active_automatic,680,bad,bad,lexeme_candidate,True,,,,39,23,conflicting_variants,lu:e9ab1fa51d917e6eb7,,[]
99,S0_foundation_automatic,A1,active_automatic,680,bag,bag,lexeme_candidate,True,,,,33,19,unreviewed,lu:10947dcc5f24f23426,,[]
100,S0_foundation_automatic,A1,active_automatic,680,balance,balance,lexeme_candidate,True,,,,58,31,conflicting_variants,lu:49743f2aeebd724f47,,[]
101,S0_foundation_automatic,A1,active_automatic,680,ball,ball,lexeme_candidate,True,,,,38,22,unreviewed,lu:666dccf7799b270bb5,,[]
102,S0_foundation_automatic,A1,active_automatic,680,band,band,lexeme_candidate,True,,,,51,28,conflicting_variants,lu:4e5c371930c3832e85,,[]
103,S0_foundation_automatic,A1,active_automatic,680,bank,bank,lexeme_candidate,True,,,,42,24,unreviewed,lu:d482ae0a36040cda26,,[]
104,S0_foundation_automatic,A1,active_automatic,680,bar,bar,lexeme_candidate,True,,,,45,29,conflicting_variants,lu:4df898505cfece6164,,[]
105,S0_foundation_automatic,A1,active_automatic,680,base,base,lexeme_candidate,True,,,,48,30,conflicting_variants,lu:c034f9c22ca03aed69,,[]
106,S0_foundation_automatic,A1,active_automatic,680,baseball,baseball,lexeme_candidate,True,,,,32,18,conflicting_variants,lu:2095edb28939691804,,[]
107,S0_foundation_automatic,A1,active_automatic,680,bat,bat,lexeme_candidate,True,,,,37,22,conflicting_variants,lu:f9633870521efbe2a6,,[]
108,S0_foundation_automatic,A1,active_automatic,680,bath,bath,lexeme_candidate,True,,,,30,20,unreviewed,lu:47fe2197f1df94f648,,[]
109,S0_foundation_automatic,A1,active_automatic,680,bathroom,bathroom,lexeme_candidate,True,,,,32,20,unreviewed,lu:1d16f8414dd6270602,,[]
110,S0_foundation_automatic,A1,active_automatic,680,battle,battle,lexeme_candidate,True,,,,43,26,unreviewed,lu:d43d27f8b914c19dbe,,[]
111,S0_foundation_automatic,A1,active_automatic,680,beach,beach,lexeme_candidate,True,,,,41,22,unreviewed,lu:2639c6e2242e798106,,[]
112,S0_foundation_automatic,A1,active_automatic,680,beautiful,beautiful,lexeme_candidate,True,,,,38,20,unreviewed,lu:a83293c6b90c3841e1,,[]
113,S0_foundation_automatic,A1,active_automatic,680,become,become,lexeme_candidate,True,,,,35,22,conflicting_variants,lu:1d025b4a9f86cdba85,,[]
114,S0_foundation_automatic,A1,active_automatic,680,bed,bed,lexeme_candidate,True,,,,39,22,unreviewed,lu:52c74dbae5478e9a47,,[]
115,S0_foundation_automatic,A1,active_automatic,680,begin,begin,lexeme_candidate,True,,,,34,22,conflicting_variants,lu:4e83d8c42db1c0dcc4,,[]
116,S0_foundation_automatic,A1,active_automatic,680,behave,behave,lexeme_candidate,True,,,,49,24,conflicting_variants,lu:cbad6983e63c43a8fa,,[]
117,S0_foundation_automatic,A1,active_automatic,680,behind,behind,lexeme_candidate,True,,,,36,23,unreviewed,lu:f6acae4968a0219e23,,[]
118,S0_foundation_automatic,A1,active_automatic,680,believe,believe,lexeme_candidate,True,,,,34,21,unreviewed,lu:f9fe37b93f7ff891d5,,[]
119,S0_foundation_automatic,A1,active_automatic,680,bell,bell,lexeme_candidate,True,,,,32,21,conflicting_variants,lu:04e1a8288cb93f3341,,[]
120,S0_foundation_automatic,A1,active_automatic,680,belong,belong,lexeme_candidate,True,,,,35,23,unreviewed,lu:9d26b91eb87fa69103,,[]
121,S0_foundation_automatic,A1,active_automatic,680,belt,belt,lexeme_candidate,True,,,,35,22,conflicting_variants,lu:1e9054a0579158aed8,,[]
122,S0_foundation_automatic,A1,active_automatic,680,benefit,benefit,lexeme_candidate,True,,,,62,29,conflicting_variants,lu:f2f427110c814836e0,,[]
123,S0_foundation_automatic,A1,active_automatic,680,bet,bet,lexeme_candidate,True,,,,37,24,conflicting_variants,lu:bc4ac83b4bf0765641,,[]
124,S0_foundation_automatic,A1,active_automatic,680,between,between,lexeme_candidate,True,,,,36,22,conflicting_variants,lu:193763e56280cbc36e,,[]
125,S0_foundation_automatic,A1,active_automatic,680,beyond,beyond,lexeme_candidate,True,,,,39,24,conflicting_variants,lu:8729bbb2796a521d91,,[]
126,S0_foundation_automatic,A1,active_automatic,680,big,big,lexeme_candidate,True,,,,39,23,conflicting_variants,lu:6e07067d09b071e5a0,,[]
127,S0_foundation_automatic,A1,active_automatic,680,bird,bird,lexeme_candidate,True,,,,38,23,unreviewed,lu:778f4d272e1b187e58,,[]
128,S0_foundation_automatic,A1,active_automatic,680,black,black,lexeme_candidate,True,,,,42,25,conflicting_variants,lu:c0ce81264c36e6b193,,[]
129,S0_foundation_automatic,A1,active_automatic,680,blank,blank,lexeme_candidate,True,,,,37,24,conflicting_variants,lu:7c37f8b7ea2176c978,,[]
130,S0_foundation_automatic,A1,active_automatic,680,blind,blind,lexeme_candidate,True,,,,42,22,unreviewed,lu:4a24eea2168a49c184,,[]
131,S0_foundation_automatic,A1,active_automatic,680,block,block,lexeme_candidate,True,,,,55,29,conflicting_variants,lu:95529f2de3242f3e49,,[]
132,S0_foundation_automatic,A1,active_automatic,680,blow,blow,lexeme_candidate,True,,,,40,26,unreviewed,lu:9da2d517904099f755,,[]
133,S0_foundation_automatic,A1,active_automatic,680,blue,blue,lexeme_candidate,True,,,,42,26,conflicting_variants,lu:d8967437f210faee7b,,[]
134,S0_foundation_automatic,A1,active_automatic,680,boat,boat,lexeme_candidate,True,,,,36,22,unreviewed,lu:abc3ac792134f079d4,,[]
135,S0_foundation_automatic,A1,active_automatic,680,body,body,lexeme_candidate,True,,,,39,21,unreviewed,lu:983780fd197ebe162a,,[]
136,S0_foundation_automatic,A1,active_automatic,680,boot,boot,lexeme_candidate,True,,,,43,23,conflicting_variants,lu:4f4f6d4da975e11fc2,,[]
137,S0_foundation_automatic,A1,active_automatic,680,border,border,lexeme_candidate,True,,,,50,26,conflicting_variants,lu:5dc1762747e21f07eb,,[]
138,S0_foundation_automatic,A1,active_automatic,680,boring,boring,lexeme_candidate,True,,,,38,24,conflicting_variants,lu:37dc92f5e899aa1954,,"[{""canonicalForm"":""bore"",""confidence"":""medium"",""lexicalUnitId"":""lu:481310c364d587d373"",""relationType"":""present_participle""}]"
139,S0_foundation_automatic,A1,active_automatic,680,borrow,borrow,lexeme_candidate,True,,,,35,24,unreviewed,lu:6936748bca3f085f89,,[]
140,S0_foundation_automatic,A1,active_automatic,680,both,both,lexeme_candidate,True,,,,34,22,conflicting_variants,lu:24c4f8ef35112954f0,,[]
141,S0_foundation_automatic,A1,active_automatic,680,bottle,bottle,lexeme_candidate,True,,,,34,22,unreviewed,lu:ec68ad7dc34e56c377,,[]
142,S0_foundation_automatic,A1,active_automatic,680,bowl,bowl,lexeme_candidate,True,,,,33,19,unreviewed,lu:99f4a085a1cdb655aa,,[]
143,S0_foundation_automatic,A1,active_automatic,680,box,box,lexeme_candidate,True,,,,46,23,conflicting_variants,lu:1f92b820e41a39cbda,,[]
144,S0_foundation_automatic,A1,active_automatic,680,boy,boy,lexeme_candidate,True,,,,34,22,unreviewed,lu:7aa801a7025ac44cda,,[]
145,S0_foundation_automatic,A1,active_automatic,680,branch,branch,lexeme_candidate,True,,,,50,27,conflicting_variants,lu:93ebfba2384ea52760,,[]
146,S0_foundation_automatic,A1,active_automatic,680,bread,bread,lexeme_candidate,True,,,,36,23,unreviewed,lu:44a645fe7b5ecb9cad,,[]
147,S0_foundation_automatic,A1,active_automatic,680,breakfast,breakfast,lexeme_candidate,True,,,,34,21,unreviewed,lu:e46af84b01d9511c69,,[]
148,S0_foundation_automatic,A1,active_automatic,680,breath,breath,lexeme_candidate,True,,,,35,23,unreviewed,lu:44779906842a9c713a,,[]
149,S0_foundation_automatic,A1,active_automatic,680,brick,brick,lexeme_candidate,True,,,,33,20,conflicting_variants,lu:f779d40505c720b0f3,,[]
150,S0_foundation_automatic,A1,active_automatic,680,bridge,bridge,lexeme_candidate,True,,,,41,23,unreviewed,lu:fc8a6e5bde87372ab0,,[]
151,S0_foundation_automatic,A1,active_automatic,680,brilliant,brilliant,lexeme_candidate,True,,,,45,24,conflicting_variants,lu:d0d2ddff7e6de17559,,[]
152,S0_foundation_automatic,A1,active_automatic,680,broad,broad,lexeme_candidate,True,,,,40,25,unreviewed,lu:835336387473f826f0,,[]
153,S0_foundation_automatic,A1,active_automatic,680,brother,brother,lexeme_candidate,True,,,,37,22,unreviewed,lu:2b3d4e2da2da381ac1,,[]
154,S0_foundation_automatic,A1,active_automatic,680,brown,brown,lexeme_candidate,True,,,,37,22,conflicting_variants,lu:836e8cac9567a876b1,,[]
155,S0_foundation_automatic,A1,active_automatic,680,budget,budget,lexeme_candidate,True,,,,60,30,conflicting_variants,lu:53090716736a75c825,,[]
156,S0_foundation_automatic,A1,active_automatic,680,building,building,lexeme_candidate,True,,,,36,21,conflicting_variants,lu:78546c9e70a8cf3318,,"[{""canonicalForm"":""build"",""confidence"":""medium"",""lexicalUnitId"":""lu:4db083699c5d49002c"",""relationType"":""present_participle""}]"
157,S0_foundation_automatic,A1,active_automatic,680,bus,bus,lexeme_candidate,True,,,,39,23,conflicting_variants,lu:e94b93ad67dfbfd014,,[]
158,S0_foundation_automatic,A1,active_automatic,680,busy,busy,lexeme_candidate,True,,,,39,24,conflicting_variants,lu:5a82b17136d2437682,,[]
159,S0_foundation_automatic,A1,active_automatic,680,but,but,lexeme_candidate,True,,,,34,22,conflicting_variants,lu:ea9a9d97e7adc81c5a,,[]
160,S0_foundation_automatic,A1,active_automatic,680,buy,buy,lexeme_candidate,True,,,,40,23,conflicting_variants,lu:8d89f0cf048e1050c5,,[]
161,S0_foundation_automatic,A1,active_automatic,680,by,by,lexeme_candidate,True,,,,37,23,conflicting_variants,lu:e9013caf69b71210c3,,[]
162,S0_foundation_automatic,A1,active_automatic,680,cable,cable,lexeme_candidate,True,,,,38,23,conflicting_variants,lu:2c3dd6e5bd58804842,,[]
163,S0_foundation_automatic,A1,active_automatic,680,cake,cake,lexeme_candidate,True,,,,33,20,unreviewed,lu:aeec393480b936b6b7,,[]
164,S0_foundation_automatic,A1,active_automatic,680,calculate,calculate,lexeme_candidate,True,,,,54,27,conflicting_variants,lu:207a129d3e98f22439,,[]
165,S0_foundation_automatic,A1,active_automatic,680,calendar,calendar,lexeme_candidate,True,,,,44,25,conflicting_variants,lu:83106c83a29a703028,,[]
166,S0_foundation_automatic,A1,active_automatic,680,call,call,lexeme_candidate,True,,,,47,26,conflicting_variants,lu:e0c1f88ffa8191fab4,,[]
167,S0_foundation_automatic,A1,active_automatic,680,calm,calm,lexeme_candidate,True,,,,51,28,conflicting_variants,lu:feb4ef9aa7068d821b,,[]
168,S0_foundation_automatic,A1,active_automatic,680,camp,camp,lexeme_candidate,True,,,,42,25,unreviewed,lu:313410056f287dd76a,,[]
169,S0_foundation_automatic,A1,active_automatic,680,cancer,cancer,lexeme_candidate,True,,,,41,25,conflicting_variants,lu:0b74a1d4a39234ed3a,,[]
170,S0_foundation_automatic,A1,active_automatic,680,candy,candy,lexeme_candidate,True,,,,30,17,conflicting_variants,lu:35e93631304557351b,,[]
171,S0_foundation_automatic,A1,active_automatic,680,cap,cap,lexeme_candidate,True,,,,35,19,unreviewed,lu:3619a80b72c86b3ab8,,[]
172,S0_foundation_automatic,A1,active_automatic,680,car,car,lexeme_candidate,True,,,,38,23,unreviewed,lu:f9c26110dd277b4ece,,[]
173,S0_foundation_automatic,A1,active_automatic,680,card,card,lexeme_candidate,True,,,,42,25,conflicting_variants,lu:80350f033b4857c9f2,,[]
174,S0_foundation_automatic,A1,active_automatic,680,careful,careful,lexeme_candidate,True,,,,36,19,unreviewed,lu:712c6174560f1720d9,,[]
175,S0_foundation_automatic,A1,active_automatic,680,carpet,carpet,lexeme_candidate,True,,,,38,24,conflicting_variants,lu:dec87240e7ea84b561,,[]
176,S0_foundation_automatic,A1,active_automatic,680,case,case,lexeme_candidate,True,,,,44,26,conflicting_variants,lu:871286ff593ef3362f,,[]
177,S0_foundation_automatic,A1,active_automatic,680,cash,cash,lexeme_candidate,True,,,,48,25,conflicting_variants,lu:df17623f8eb1f9c813,,[]
178,S0_foundation_automatic,A1,active_automatic,680,cat,cat,lexeme_candidate,True,,,,31,21,unreviewed,lu:c8be3e4975cb733030,,[]
179,S0_foundation_automatic,A1,active_automatic,680,catch,catch,lexeme_candidate,True,,,,47,27,unreviewed,lu:3aac7867b9c4aa4c38,,[]
180,S0_foundation_automatic,A1,active_automatic,680,celebrate,celebrate,lexeme_candidate,True,,,,49,26,unreviewed,lu:18aa88b84059d58d6f,,[]
181,S0_foundation_automatic,A1,active_automatic,680,cell,cell,lexeme_candidate,True,,,,39,26,conflicting_variants,lu:250e6893d02bbcd827,,[]
